Description,Offense,Punishment,Section
"Description of IPC Section 171D
According to section 171D of Indian penal code, Whoever at an election applies for a voting paper on votes in the name of any other person, whether living or dead, or in a fictitious name, or who having voted once at such election applies at the same election for a voting paper in his own name, and whoever abets, procures or attempts to procure the voting by any person in any such way, commits the offence of personation at an election.


IPC 171D in Simple Words
Section 171D of the Indian Penal Code states that anyone who applies for a voting paper in someone else's name or uses a fictitious name to vote, or tries to vote more than once in the same election, and anyone who helps or encourages such actions, commits the offence of personation at an election.",nan,nan,171D
"Description of IPC Section 171E
According to section 171E of Indian penal code, Whoever commits the offence of bribery shall be punished with imprisonment of either description for a term which may extend to one year, or with fine, or with both;
Provided that bribery by treating shall be punished with fine only.


IPC 171E in Simple Words
If someone commits bribery, they can be punished with up to one year of imprisonment, a fine, or both, except for bribery by treating, which is punishable by a fine only.",Bribery,"1 Year or Fine or Both, or if treating only, fine only",171E
"Description of IPC Section 147
According to section 147 of Indian penal code, Whoever is guilty of rioting, shall be punished with imprisonment of either description for a term which may extend to two years, or with fine, or with both.


IPC 147 in Simple Words
If someone is involved in rioting, they can be punished with up to two years in jail, a fine, or both.",Rioting,2 Years or Fine or Both,147
"Description of IPC Section 171F
According to section 171F of Indian penal code, Whoever commits the offence of undue influence or personation at an election shall be punished with imprisonment of either description for a term which may extend to one year or with fine, or with both.


IPC 171F in Simple Words
Section 171F of the Indian Penal Code states that anyone who engages in undue influence or personation at an election may be punished with imprisonment up to one year or fined, or both.",Undue influence at an election,1 Year or Fine or Both,171F
"Description of IPC Section 171G
According to section 171G of Indian penal code, Whoever with intent to affect the result of an election makes or publishes any statement purporting to be a statement of fact which is false and which he either knows or believes to be false or does not believe to be true, in relation to the personal character or conduct of any candidate shall be punished with fine.


IPC 171G in Simple Words
Section 171G of the Indian Penal Code states that anyone who knowingly spreads false information about a candidate's personal character or conduct with the intention of influencing the election outcome may be fined.",False statement in connection with an election,Fine,171G
"Description of IPC Section 171H
According to section 171H of Indian penal code, Whoever without the general or special authority in writing of a candidate incurs or authorizes expenses on account of the holding of any public meeting, or upon any advertisement, circular or publication, or in any other way whatsoever for the purpose of promoting or procuring the election of such candidate, shall be punished with fine which may extend to five hundred rupees;
Provided that if any person having incurred any such expenses not exceeding the amount of ten rupees without authority obtains within ten days from the date on which such expenses were incurred the approval in writing of the candidate, he shall be deemed to have incurred such expenses with the authority of the candidate.


IPC 171H in Simple Words
Section 171H of the Indian Penal Code states that anyone who spends money on public meetings, advertisements, or other activities to promote a candidate's election without the candidate's authorization may be fined up to five hundred rupees, but if the candidate approves the expenses within ten days, it will be considered authorized.",Illegal payments in connection with elections,Fine,171H
"Description of IPC Section 171I
According to section 171I of Indian penal code, Whoever being required by any law for the time being in force or any rule having the force of law to keep accounts of expenses incurred at or in connection with an election fails to keep such accounts shall be punished with fine which may extend to five hundred rupees.


IPC 171I in Simple Words
Section 171I of the Indian Penal Code states that if someone, who is obligated by law or rules to maintain accounts of election-related expenses, fails to do so, they can be fined up to five hundred rupees.",Failure to keep election accounts,Fine,171I
"Description of IPC Section 172
According to section 172 of Indian penal code, Whoever absconds in order to avoid being served with a summons, notice or order proceeding from any public servant legally competent, as such public servant, to issue such summons, notice or order, shall be punished with simple imprisonment for a term which may extend to one month, or with fine which may extend to five hundred rupees, or with both; or, if the summons or notice or order is to attend in person or by agent, or to produce a document in a Court of Justice, with simple imprisonment for a term which may extend to six months, or with fine which may extend to one thousand rupees, or with both.


IPC 172 in Simple Words
If someone runs away to avoid receiving a summons, notice, or order from a public servant, they can be punished with up to one month in jail, a fine of up to five hundred rupees, or both; and if the requirement is to appear in a Court of Justice or produce a document, the punishment can be up to six months in jail, a fine of up to one thousand rupees, or both.",Absconding to avoid service of summons or other proceeding from a public servant,Simple Imprisonment for 1 Month or Fine or Both,172
"Description of IPC Section 173
According to section 173 of Indian penal code, Whoever in any manner intentionally prevents the serving on himself, or on any other person, of any summons, notice or order proceeding from any public servant legally competent, such public servant, to issue such summons, notice or order,
or intentionally prevents the lawful affixing to any place of any such summons, notice or order,
or intentionally removes any such summons, notice or order from any place to which it is lawfully affixed,
or intentionally prevents the lawful making of any proclamation, under the authority of any public servant legally competent, as such public servant, to direct such proclamation to be made,
shall be punished with simple imprisonment for a term which may extend to one month, or with fine which may extend to five hundred rupees, or with both;
or, if the summons, notice, order or proclamation is to attend in person or by agent, or to produce a document in a Court of Justice, with simple imprisonment for a term which may extend to six months, or with fine which may extend to one thousand rupees, or with both.


IPC 173 in Simple Words
If someone intentionally hinders the delivery of a summons, notice, order, or proclamation from a public servant, they can be punished with up to one month in jail, a fine of up to five hundred rupees, or both; and if the requirement is to appear in a Court of Justice or produce a document, the punishment can be up to six months in jail, a fine of up to one thousand rupees, or both.","Preventing the service or The affixing of any summons of notice, or the removal of it when it has been affixed, or preventing a reclamation",Simple Imprisonment for 1 Month or Fine or Both,173
"Description of IPC Section 174
According to section 174 of Indian penal code, Whoever, being legally bound to attend in person or by an agent at a certain place and time in obedience to a summons, notice, order, or proclamation proceeding from any public servant legally competent, as such public servant, to issue the same, intentionally omits to attend at that place or time, or departs from the place where he is bound to attend before the time at which it is lawful for him to depart, shall be punished with simple imprisonment for a term which may extend to one month, or with fine which may extend to five hundred rupees, or with both;
or, if the summons, notice, order or proclamation is to attend in person or by agent in a Court of Justice, with simple imprisonment for a term which may extend to six months, or with fine which may extend to one thousand rupees, or with both.


IPC 174 in Simple Words
If someone is legally required to appear at a certain place and time in response to a summons, notice, order, or proclamation from a public servant but intentionally fails to attend or leaves before the allowed time, they can be punished with up to one month in jail, a fine of up to five hundred rupees, or both; and if the requirement is to appear in a Court of Justice, the punishment can be up to six months in jail, a fine of up to one thousand rupees, or both.","Not obeying a legal order to attend at a certain place in person or by agent, or departing therefrom without authority",Simple Imprisonment for 1 Month or Fine or Both,174
"Description of IPC Section 174A
According to section 174A of Indian penal code, Whoever fails to appear at the specified place and the specified time as required by a proclamation published under sub? section (1) of section 82 of the Code of Criminal Procedure, 1973, shall be punished with imprisonment for a term which may extend to three years or with fine or with both, and where a declaration has been made under sub? section (4) of that section pronouncing him as a proclaimed offender, he shall be punished with imprisonment for a term which may extend to seven years and shall also be liable to fine.


IPC 174A in Simple Words
If someone doesn't appear at the specified place and time as required by a proclamation published under section 82 of the Code of Criminal Procedure, they can be punished with up to three years of imprisonment, a fine, or both; if declared a proclaimed offender, the punishment can be up to seven years of imprisonment and a fine.",Failure to appear at specified place and specified time as required by a proclamation published under Sub-Section 1 of section 82 of this Code,3 Years or Fine or Both,174A
"Description of IPC Section 175
According to section 175 of Indian penal code, Whoever, being legally bound to produce or deliver up any document to any public servant, as such, intentionally omits so to produce or deliver up the same, shall be punished with simple imprisonment for a term which may extend to one month, or with fine which may extend to five hundred rupees, or with both;
or, if the document is to be produced or delivered up to a Court of Justice, with simple imprisonment for a term which may extend to six months, or with fine which may extend to one thousand rupees, or with both.


IPC 175 in Simple Words
If someone is legally required to show or hand over a document to a public servant but intentionally fails to do so, they can be punished with up to one month in jail, a fine of up to five hundred rupees, or both; and if the document should be given to a Court of Justice, the punishment can be up to six months in jail, a fine of up to one thousand rupees, or both.",Intentionally omitting to produce a document to a public servant by a person legally bound to produce deliver such document,Simple Imprisonment for 1 Month or Fine or Both,175
"Description of IPC Section 176
According to section 176 of Indian penal code, Whoever, being legally bound to give any notice or to furnish information on any subject to any public servant, as such, intentionally omits to give such notice or to furnish such information in the manner and at the time required by law, shall be punished with simple imprisonment for a term which may extend to one month, or with fine which may extend to five hundred rupees, or with both;
or, if the notice or information required to be given respects the commission of an offence, or is required for the purpose of preventing the commission of an offence, or in order to the apprehension of an offender, with simple imprisonment for a term which may extend to six months, or with fine which may extend to one thousand rupees, or with both;
or, if the notice or information required to be given is required by an order passed under sub-section (1) of section 565 of the Code of Criminal Procedure, 1898 (5 of 1898), with imprisonment of either description for a term which may extend to six months, or with fine which may extend to one thousand rupees, or with both.


IPC 176 in Simple Words
If someone is legally obligated to provide notice or information to a public servant but intentionally fails to do so, they can be punished with up to one month in jail, a fine of up to five hundred rupees, or both; and if the notice or information pertains to a crime or preventing a crime, the punishment can be up to six months in jail, a fine of up to one thousand rupees, or both; and if the notice or information is required by a specific order, the punishment can be up to six months in jail, a fine of up to one thousand rupees, or both.",Intentionally omitting to Give notice or information to a public servant by a person legally bound to Give such notice or information,Simple Imprisonment for 1 Month or Fine or Both,176
"Description of IPC Section 148
According to section 148 of Indian penal code, Whoever is guilty of rioting, being armed with a deadly weapon or with anything which, used as a weapon of offence, is likely to cause death, shall be punished with imprisonment of either description for a term which may extend to three years, or with fine, or with both.


IPC 148 in Simple Words
If someone takes part in a riot while being armed with a deadly weapon or anything likely to cause death, they can be punished with up to three years in jail, a fine, or both.",Rioting armed with deadly Weapon,3 Years or Fine or Both,148
"Description of IPC Section 177
According to section 177 of Indian penal code, Whoever, being legally bound to furnish information on any subject to any public servant, as such, furnishes, as true, information on the subject which he knows or has reason to believe to be false shall be punished with simple imprisonment for a term which may extend to six months, or with fine which may extend to one thousand rupees, or with both;
or, if the information which he is legally bound to give respects the commission of an offence, or is required for the purpose of preventing the commission of an offence, or in order to the apprehension of an offender, with imprisonment of either description for a term which may extend to two years, or with fine, or with both.


IPC 177 in Simple Words
If someone is legally required to provide information to a public servant but knowingly gives false information, they can be punished with up to six months in jail, a fine of up to one thousand rupees, or both; and if the information relates to a crime or preventing a crime, the punishment can be up to two years in jail, a fine, or both.",Knowingly furnishing false information to a public servant,6 Months or Fine or Both,177
"Description of IPC Section 178
According to section 178 of Indian penal code, Whoever refuses to bind himself by an oath or affirmation to state the truth, when required so to bind himself by a public servant legally competent to require that he shall so bind himself, shall be punished with simple imprisonment for a term which may extend to six months, or with fine which may extend to one thousand rupees, or with both.


IPC 178 in Simple Words
If someone refuses to take an oath or affirm to tell the truth when legally asked to do so by a public servant, they can be punished with up to six months in jail, a fine of up to one thousand rupees, or both.",Refusing oath when duly required to take oath by a public servant,Simple Imprisonment for 6 Months or Fine or Both,178
"Description of IPC Section 179
According to section 179 of Indian penal code, Whoever, being legally bound to state the truth on any subject to any public servant, refuses to answer any question demanded of him touching that subject by such public servant in the exercise of the legal powers of such public servant, shall be punished with simple imprisonment for a term which may extend to six months, or with fine which may extend to one thousand rupees, or with both.


IPC 179 in Simple Words
If someone who is required by law to tell the truth to a public servant refuses to answer their questions, they can be punished with up to six months in jail, a fine of up to one thousand rupees, or both.","Being legally bound to state truth, and refusing to answer questions",Simple Imprisonment for 6 Months or Fine or Both,179
"Description of IPC Section 180
According to section 180 of Indian penal code, Whoever refuses to sign any statement made by him, when required to sign that statement by a public servant legally competent to require that he shall sign that statement, shall be punished with simple imprisonment for a term which may extend to three months, or with fine which may extend to five hundred rupees, or with both.


IPC 180 in Simple Words
In simple words, Section 180 of the Indian Penal Code states that if someone refuses to sign a statement when legally required to do so by a public servant, they may be punished with imprisonment for up to three months, or fined, or both.",Refusing to sign statement made to a public servant when legally required to do so,Simple Imprisonment for 3 Months or Fine or Both,180
"Description of IPC Section 181
According to section 181 of Indian penal code, Whoever, being legally bound by an oath or affirmation to state the truth on any subject to any public servant or other person authorized by law to administer such oath or affirmation, makes, to such public servant or other person as aforesaid, touching that subject, any statement which is false, and which he either knows or believes to be false or does not believe to be true, shall be punished with imprisonment of either description for a term which may extend to three years, and shall also be liable to fine.


IPC 181 in Simple Words
In simple words, Section 181 of the Indian Penal Code states that if someone under oath or affirmation knowingly gives a false statement to a public servant or authorized person, they may be punished with imprisonment for up to three years and may also have to pay a fine.","Knowingly stating to a public servant, on oath as True that which is false",3 Years + Fine,181
"Description of IPC Section 182
According to section 182 of Indian penal code, Whoever gives to any public servant any information which he knows or believes to be false, intending thereby to cause, or knowing it to be likely that he will thereby cause such public servant:
to do or omit anything which such public servant ought not to do or omit if the true state of facts respecting which such information is given were known by him, or
to use the lawful power of such public servant to the injury or annoyance of any person, shall be punished with imprisonment of either description for a term which may extend to six months, or with fine which may extend to one thousand rupees, or with both.


IPC 182 in Simple Words
In simple words, Section 182 of the Indian Penal Code states that if someone knowingly gives false information to a public servant with the intention of causing them to do something they shouldn't or use their power to harm someone, they may be punished with imprisonment, fine, or both, for a maximum of six months.",Giving false information to a public servant in order to cause him to use his lawful power to the injury or annoyance of any person,6 Months or Fine or Both,182
"Description of IPC Section 183
According to section 183 of Indian penal code, Whoever offers any resistance to the taking of any property by the lawful authority of any public servant, knowing or having reason to believe that he is such public servant, shall be punished with imprisonment of either description for a term which may extend to six months, or with fine which may extend to one thousand rupees, or with both.


IPC 183 in Simple Words
In simple words, Section 183 of the Indian Penal Code states that if someone resists the lawful taking of any property by a public servant, knowing or believing that the person is a public servant, they may be punished with imprisonment, fine, or both, for a maximum of six months.",Resistance to the taking of property by the lawful authority of a public servant,6 Months or Fine or Both,183
"Description of IPC Section 184
According to section 184 of Indian penal code, Whoever intentionally obstructs any sale of property offered for sale by the lawful authority of any public servant, as such, shall be punished with imprisonment of either description for a term which may extend to one month, or with fine which may extend to five hundred rupees, or with both.


IPC 184 in Simple Words
In simple words, Section 184 of the Indian Penal Code states that if someone intentionally obstructs the sale of property that is being offered for sale by a public servant, they may be punished with imprisonment, fine, or both, for a maximum of one month.",Obstructing sale of property offered for sale by authority of a public servant,1 Month or Fine or Both,184
"Description of IPC Section 185
According to section 185 of Indian penal code, Whoever, at any sale of property held by the lawful authority of a public servant, as such, purchases or bids for any property on account of any person, whether himself or any other, whom he knows to be under a legal incapacity to purchase that property at that sale, or bids for such property not intending to perform the obligations under which he lays himself by such bidding, shall be punished with imprisonment of either description for a term which may extend to one month, or with fine which may extend to two hundred rupees, or with both.


IPC 185 in Simple Words
In simple words, Section 185 of the Indian Penal Code states that if someone purchases or bids for property at a public sale on behalf of a person who is legally not allowed to do so or bids without intending to fulfill the obligations, they may be punished with imprisonment, fine, or both, for a maximum of one month.","Bidding, by a person under a legal incapacity to purchase it, for property at a lawfully authorized Sale, or bidding without intending to perform the obligations incurred thereby",1 Month or Fine or Both,185
"Description of IPC Section 186
According to section 186 of Indian penal code, Whoever voluntarily obstructs any public servant in the discharge of his public functions, shall be punished with imprisonment of either description for a term which may extend to three months, or with fine which may extend to five hundred rupees, or with both.


IPC 186 in Simple Words
In simple words, Section 186 of the Indian Penal Code states that if someone intentionally obstructs a public servant from performing their duties, they may be punished with imprisonment, fine, or both, for a maximum of three months.",Obstructing public servant in discharge of his public functions,3 Months or Fine or Both,186
"Description of IPC Section 149
According to section 149 of Indian penal code, If an offence is committed by any member of an unlawful assembly in prosecution of the common object of that assembly, or such as the members of that assembly knew to be likely to be committed in prosecution of that object, every person who, at the time of the committing of that offence, is a member of the same assembly, is guilty of that offence.


IPC 149 in Simple Words
If any member of an unlawful assembly commits an offense as part of their common goal, all other members of that assembly at the time of the offense are also considered guilty of that offense.","If an offence be committed by any member of an unlawful assembly, every other member of such assembly shall be guilty of the offence",Same As Offence,149
"Description of IPC Section 187
According to section 187 of Indian penal code, Whoever, being bound by law to render or furnish assistance to any public servant in the execution of his public duty, intentionally omits to give such assistance, shall be punished with simple imprisonment for a term which may extend to one month, or with fine which may extend to two hundred rupees, or with both; and if such assistance be demanded of him by a public servant legally competent to make such demand for the purposes of executing any process lawfully issued by a Court of Justice, or of preventing the commission of an offence, or suppressing a riot, or affray, or of apprehending a person charged with or guilty of an offence, or of having escaped from lawful custody, shall be punished with simple imprisonment for a term which may extend to six months, or with fine which may extend to five hundred rupees, or with both.


IPC 187 in Simple Words
In simple words, Section 187 of the Indian Penal Code states that if someone fails to assist a public servant when legally required to do so, they may be punished with imprisonment or fine. If the assistance is demanded for specific purposes like preventing a crime or apprehending an offender, the punishment may be more severe.",Omission to assist public servant when bound by law to give such assistance,Simple Imprisonment for 1 Month or Fine or Both,187
"Description of IPC Section 188
According to section 188 of Indian penal code, Whoever, knowing that, by an order promulgated by a public servant lawfully empowered to promulgate such order, he is directed to abstain from a certain act, or to take certain order with certain property in his possession or under his management disobeys such direction, shall, if such disobedience causes or tends to cause obstruction, annoyance or injury, or risk of obstruction, annoyance or injury, to any persons lawfully employed, be punished with simple imprisonment for a term which may extend to one month or with fine which may extend to two hundred rupees, or with both;
and if such disobedience causes or tends to cause danger to human life, health or safety, or causes or tends to cause a riot or affray, shall be punished with imprisonment of either description for a term which may extend to six months, or with fine which may extend to one thousand rupees, or with both.


IPC 188 in Simple Words
In simple words, Section 188 of the Indian Penal Code states that if someone disobeys a lawful order given by a public servant, and it causes annoyance, risk of harm, or danger to others, they can be punished with imprisonment or fine.","Disobedience to an order lawfully promulgated by a public servant, If such disobedience causes obstruction, annoyance or injury to persons lawfully employed",Simple Imprisonment for 1 Month or Fine or Both,188
"Description of IPC Section 189
According to section 189 of Indian penal code, Whoever holds out any threat of injury to any public servant, or to any person in whom he believes that public servant to be interested, for the purpose of inducing that public servant to do any act, or to forbear or delay to do any act, connected with the exercise of the public functions of such public servant, shall be punished with imprisonment of either description for a term which may extend to two years, or with fine, or with both.


IPC 189 in Simple Words
In simple words, Section 189 of the Indian Penal Code states that anyone who threatens to harm a public servant or someone connected to that public servant to influence their official duties will be punished with imprisonment or fine.","Threatening a public servant with injury to him or one in whom he is interested, to induce him to do or forbear to do any official act",2 Years or Fine or Both,189
"Description of IPC Section 190
According to section 190 of Indian penal code, Whoever holds out any threat of injury to any person for the purpose of inducing that person to refrain or desist from making a legal application for protection against any injury to any public servant legally empowered as such to give such protection, or to cause such protection to be given, shall be punished with imprisonment of either description for a term which may extend to one year, or with fine, or with both.


IPC 190 in Simple Words
In simple words, Section 190 of the Indian Penal Code states that anyone who threatens to harm someone to prevent them from seeking legal protection against a public servant will be punished with imprisonment or fine.",Threatening any person to induce him to refrain From making a legal application for protection From injury,1 Year or Fine or Both,190
"Description of IPC Section 150
According to section 150 of Indian penal code, Whoever hires or engages, or employes, or promotes, or connives at the hiring, engagement or employment of any person to join or become a member of any unlawful assembly, shall be punishable as a member of such unlawful assembly, and for any offence which may be committed by any such person as a member of such unlawful assembly in pursuance of such hiring, engagement or employment, in the same manner as if he had been a member of such unlawful assembly, or himself had committed such offence.


IPC 150 in Simple Words
If someone hires, engages, or promotes others to join an unlawful assembly and commits an offense in connection with it, they will be punished as if they were a member of that unlawful assembly and had committed the offense themselves.","Hiring, engaging or employing persons to Take part in an unlawful assembly",Same as a Member and for Offence by any Member,150
"Description of IPC Section 151
According to section 151 of Indian penal code, Whoever knowingly joins or continues in any assembly of five or more persons likely to cause a disturbance of the public peace, after such assembly has been lawfully commanded to disperse, shall be punished with imprisonment of either description for a term which may extend to six months, or with fine, or with both.


IPC 151 in Simple Words
If someone knowingly stays in a group of five or more people that is likely to disturb public peace after being ordered to disperse, they can be punished with up to six months in jail, a fine, or both.",Knowingly joining or continuing in any assembly of five or more Persons after it has been commanded to disperse,6 Months or Fine or Both,151
"Description of IPC Section 152
According to section 152 of Indian penal code, Whoever assaults or threatens to assault, or obstructs or attempts to obstruct, any public servant in the discharge of his duty as such public servant, in endeavoring to disperse an unlawful assembly, or to suppress a riot or affray, or uses, or threatens, or attempts to use criminal force to such public servant, shall be punished with imprisonment of either description for a term which may extend to three years, or with fine, or with both.


IPC 152 in Simple Words
If someone attacks, threatens, or obstructs a public servant while they are trying to disperse an unlawful assembly or suppress a riot, they can be punished with up to three years in jail, a fine, or both.","Assaulting or obstructing public servant when suppressing riot, etc.",3 Years or Fine or Both,152
"Description of IPC Section 224
According to section 224 of Indian penal code, Whoever intentionally offers any resistance or illegal obstruction to the lawful apprehension of himself for any offence with which he is charged or of which he has been convicted, or escapes or attempts to escape from any custody in which he is lawfully detained for any such offence, shall be punished with imprisonment of either description for a term which may extend to two years, or with fine, or with both.


IPC 224 in Simple Words
In simple words, Section 224 of the Indian Penal Code states that if someone intentionally resists their lawful arrest for an offense they are charged with or have been convicted of, or tries to escape from lawful custody, they can be punished with imprisonment up to two years, or fined, or both.",Resistance or obstruction by a person to his lawful apprehension,2 Years or Fine or Both,224
"Description of IPC Section 225
According to section 225 of Indian penal code, Whoever intentionally offers any resistance or illegal obstruction to the lawful apprehension of any other person for an offence, or rescues or attempts to rescue any other person from any custody in which that person is lawfully detained for an offence, shall be punished with imprisonment of either description for a term which may extend to two years, or with fine, or with both;
or, if the person to be apprehended, or the person rescued or attempted to be rescued, is charged with or liable to be apprehended for an offence punishable with imprisonment for life or imprisonment for a term which may extend to ten years, shall be punished with imprisonment of either description for a term which may extend to three years, and shall also be liable to fine;
or, if the person to be apprehended or rescued, or attempted to be rescued, is charged with or liable to be apprehended for an offence punishable with death, shall be punished with imprisonment of either description for a term which may extend to seven years, and shall also be liable to fine;
or, if the person to be apprehended or rescued, or attempted to be rescued, is liable under the sentence of a Court of Justice, or by virtue of a commutation of such a sentence, to imprisonment for life, or imprisonment, for a term of ten years or upwards, shall be punished with imprisonment of either description for a term which may extend to seven years, and shall also be liable to fine;
or, if the person to be apprehended or rescued, or attempted to be rescued, is under sentence of death, shall be punished with 1imprisonment for life or imprisonment of either description for a term not exceeding ten years, and shall also be liable to fine.


IPC 225 in Simple Words
In simple words, Section 225 of the Indian Penal Code states that anyone who intentionally resists the lawful arrest of another person or tries to rescue someone lawfully detained for an offense can face imprisonment up to two years, and if the offense involved carries more severe punishment, the imprisonment can be up to three to seven years, along with a fine.","Resistance or obstruction to the lawful apprehension of any person, or, rescuing him from lawful custody",2 Years or Fine or Both,225
"Description of IPC Section 225A
According to section 225A of Indian penal code, Whoever, being a public servant legally bound as such public servant to apprehend, or to keep in confinement, any person in any case not provided for in section 221, section 222 or section 223, or in any other law for the time being in force, omits to apprehend that person or suffers him to escape from confinement, shall be punished:
if he does so intentionally, with imprisonment of either description for a term which may extend to three years, or with fine or with both; and
if he does so negligently, with simple imprisonment for a term which may extend to two years, or with fine, or with both.


IPC 225A in Simple Words
Section 225A of the Indian Penal Code states that if a public servant fails to apprehend or keep someone in confinement when legally bound to do so, they can be punished with imprisonment up to three years (if intentional) or up to two years (if negligent), or with a fine, or both.","Omission to apprehend, or sufferance of escape on part of public servant, in cases not otherwise provided for, In case of intentional omission or sufferance",3 Years or Fine or Both,225A
"Description of IPC Section 225B
According to section 225B of Indian penal code, Whoever, in any case not provided for in section 224 or section 225 or in any other law for the time being in force, intentionally offers any resistance or illegal obstruction to the lawful apprehension of himself or of any other person, or escapes or attempts to escape from any custody in which he is lawfully detained, or rescues or attempts to rescue any other person from any custody in which that person is lawfully detained, shall be punished with imprisonment of either description for a term which may extend to six months, or with fine, or with both.


IPC 225B in Simple Words
Section 225B of the Indian Penal Code states that anyone who intentionally resists or obstructs their own or someone else's lawful arrest, escapes from lawful custody, or tries to rescue someone from lawful custody can be punished with imprisonment up to six months, a fine, or both.","Resistance or obstruction to lawful apprehension, or escape or rescue in cases not otherwise provided for",6 Months or Fine or Both,225B
"Description of IPC Section 226
According to section 226 of Indian penal code, Repealed by the Code of Criminal Procedure (Amendment) Act, 1955 (26 of 1955), s. 117 and Sch.


IPC 226 in Simple Words
In simple words, Section 226 of the Indian Penal Code has been repealed by the Code of Criminal Procedure (Amendment) Act, 1955 (26 of 1955), section 117 and Schedule.",nan,nan,226
"Description of IPC Section 191
According to section 191 of Indian penal code, Whoever, being legally bound by an oath or by an express provision of law to state the truth, or being bound by law to make a declaration upon any subject, makes any statement which is false, and which he either knows or believes to be false or does not believe to be true, is said to give false evidence.


IPC 191 in Simple Words
In simple words, Section 191 of the Indian Penal Code defines """"giving false evidence"""" as making a false statement while being legally obligated to tell the truth or provide accurate information.",nan,nan,191
"Description of IPC Section 192
According to section 192 of Indian penal code, Whoever causes any circumstance to exist or makes any false entry in any book or record, or makes any document containing a false statement, intending that such circumstance, false entry or false statement may appear in evidence in a judicial proceeding, or in a proceeding taken by law before a public servant as such, or before an arbitrator, and that such circumstance, false entry or false statement, so appearing in evidence, may cause any person who in such proceeding is to form an opinion upon the evidence, to entertain an erroneous opinion touching any point material to the result of such proceeding is said “to fabricate false evidence”.


IPC 192 in Simple Words
In simple words, Section 192 of the Indian Penal Code defines """"fabricating false evidence"""" as causing false information to be present in a record or document with the intention that it may be used in a judicial or legal proceeding, leading to a wrong conclusion.",nan,nan,192
"Description of IPC Section 193
According to section 193 of Indian penal code, Whoever intentionally gives false evidence in any of a judicial proceeding, or fabricates false evidence for the purpose of being used in any stage of a judicial proceeding, shall be punished with imprisonment of either description for a term which may extend to seven years, and shall also be liable to fine; and whoever intentionally gives or fabricates false evidence in any other case, shall be punished with imprisonment of either description for a term which may extend to three years, and shall also be liable to fine.


IPC 193 in Simple Words
In simple words, Section 193 of the Indian Penal Code states that giving false evidence or fabricating false evidence in a judicial proceeding can lead to imprisonment of up to seven years and a fine, while doing so in any other case can result in imprisonment of up to three years and a fine.",Giving or fabricating false evidence in a judicial proceeding,7 Years + Fine,193
"Description of IPC Section 194
According to section 194 of Indian penal code, Whoever gives or fabricates false evidence, intending thereby to cause, or knowing it to be likely that he will thereby cause, any person to be convicted of an offence which is capital by the laws for the time being in force in India shall be punished with imprisonment for life, or with rigorous imprisonment for a term which may extend to ten years, and shall also be liable to fine;
If innocent person be thereby convicted and executed â€” and if an innocent person be convicted and executed in consequence of such false evidence, the person who gives such false evidence shall be punished either with death or the punishment hereinbefore described.


IPC 194 in Simple Words
In simple words, Section 194 of the Indian Penal Code states that providing false evidence with the intent to get someone convicted of a capital offence can result in imprisonment for life or up to ten years, and if an innocent person is wrongly convicted and executed due to such false evidence, the offender may face either the death penalty or the aforementioned punishment.",Giving or fabricating false evidence with intent to cause any person to be convicted of a capital offence,Imprisonment for Life or Rigorous Imprisonment for 10 Years + Fine,194
"Description of IPC Section 195
According to section 195 of Indian penal code, Whoever gives or fabricates false evidence intending thereby to cause, or knowing it to be likely that he will thereby cause, any person to be convicted of an offence which by the law for the time being in force in India is not capital, but punishable with imprisonment for life, or imprisonment for a term of seven years or upwards, shall be punished as a person convicted of that offence would be liable to be punished.


IPC 195 in Simple Words
In simple words, Section 195 of the Indian Penal Code states that if someone provides false evidence to get another person convicted of a non-capital offence punishable with life imprisonment or a term of seven years or more, they will be punished as if they had committed that offence themselves.",Giving or fabricating false evidence with intent to procure conviction of an offence punishable with imprisonment for life or with imprisonment for 7 Years or upwards,Same As Offence,195
"Description of IPC Section 195A
According to section 195A of Indian penal code,
Whoever threatens another with any injury to his person, reputation or property or to the person or reputation of anyone in whom that person is interested, with intent to cause that person to give false evidence shall be punished with imprisonment of either description for a term which may extend to seven years, or with fine, or with both; and if an innocent person is convicted and sentenced in consequence of such false evidence, with death or imprisonment for more than seven years, the person who threatens shall be punished with the same punishment and sentenced in the same manner and to the same extent as such innocent person is punished and sentenced.


IPC 195A in Simple Words
If someone threatens another person to give false evidence, they can be punished with up to seven years of imprisonment, a fine, or both; if an innocent person is wrongly convicted due to the false evidence and receives a severe punishment, the one who threatened will receive the same punishment.",Threatening any person to give false evidence,7 Years or Fine or Both,195A
"Description of IPC Section 196
According to section 196 of Indian penal code, Whoever corruptly uses or attempts to use as true or genuine evidence any evidence which he knows to be false or fabricated, shall be punished in the same manner as if he gave or fabricated false evidence.


IPC 196 in Simple Words
In simple words, Section 196 of the Indian Penal Code states that if someone knowingly uses false or fabricated evidence as genuine, they will be punished as if they had given false evidence.",Using in a judicial proceeding evidence known to be false or fabricated,As For False Evidence,196
